partner,Nom,mandate,state,signature_date,last_debit_date
002201,AMPA CEIP LA MAQUINISTA,22010003410000000000000000000000000,valid,2014-10-01,2017-10-27
002202,AMPA ESCOLA LA BOBILA,22020038090000000000000000000000000,esborrany,2014-10-14,2017-10-27
002203,AMPA ESCOLA EL CUCURULL,22030029550000000000000000000000000,esborrany,2014-10-16,2017-10-27
002204,AMPA ESCOLA DE RELLINARS,22040005690000000000000000000000000,valid,2014-10-01,2017-10-27
002205,AMPA EB L'ARQUET,22050025910000000000000000000000000,esborrany,2014-10-01,2017-10-27
002206,AMPA INSTITUT ESCOLA INDUSTRIAL,22060026160000000000000000000000000,valid,2014-10-01,2017-11-10
002207,AMPA CEIP MONTGOI,22070032040000000000000000000000000,valid,2014-10-01,2017-10-27
002209,LES ARRELS,22090034420000000000000000000000000,valid,2018-06-01,2017-10-27
002210,AFA ESCOLA CASTELLUM,22100034330000000000000000000000000,esborrany,2015-10-01,2016-10-13
002211,AMPA CEIP JAUME BALMES,22110034480000000000000000000000000,valid,2014-11-03,2017-10-27
002212,AMPA LLAR D'INFANTS EL CIGRONET,22120036140000000000000000000000000,valid,2015-08-01,2017-11-10
002213,AMPA CEIP VALLMAJOR,22130037080000000000000000000000000,esborrany,2015-08-01,2017-10-27
002214,AMPA EB VALLPARADIS,22140024370000000000000000000000000,valid,2016-10-01,2017-10-27
002215,AMPA IES CAN MARGARIT,22150036750000000000000000000000000,valid,2017-10-01,2017-11-24
002216,AMPA CEIP VIROLAI,22160024200000000000000000000000000,valid,2017-06-01,2017-10-27
002217,AMPA ESCOLA COLORS,22170036550000000000000000000000000,valid,2016-11-01,2017-10-27
002218,AMPA CEIP TRAMUNTANA,22180028330000000000000000000000000,valid,2017-09-01,2017-11-10
002219,AMPA LLAR D'INFANTS RIALLES,22190032210000000000000000000000000,esborrany,2017-09-01,2017-10-27
002220,AMPA EBM LES QUATRE TORRES,22200008360000000000000000000000000,esborrany,2014-10-01,2017-11-10
002221,AMPA IES VILABLAREIX,22210015650000000000000000000000000,valid,2017-09-01,2017-10-27
002222,AMPA LLAR D'INFANTS MUNICIPAL DE BELLVER,22220016680000000000000000000000000,esborrany,2014-09-30,2017-10-27
002223,AMPA ESCOLA LES ARRELS,22230011450000000000000000000000000,esborrany,2017-11-01,2017-11-24
002224,AMPA ESCOLA ELS COSSETANS,22240010090000000000000000000000000,esborrany,2015-08-01,2017-10-27
002225,AMPA ESCOLA LAS SEGUIDILLAS,22250003570000000000000000000000000,valid,2016-10-01,2017-11-10
002226,AMPA ESCOLA PAU VILA I DINARÈS,22260024890000000000000000000000000,valid,2014-10-01,2017-11-10
002228,AMPA ESCOLA CIUTAT D'ALBA,22280001280000000000000000000000000,valid,2015-02-12,2017-10-27
002229,AMPA EB ARRAONA-ELS MENUTS,22290023740000000000000000000000000,valid,2014-10-01,2017-11-10
002230,AMPA ESCOLA CONSOL FERRÉ,22300009650000000000000000000000000,valid,2014-10-01,2017-10-27
002231,AMPA ESCOLA BELLATERRA,22310009210000000000000000000000000,valid,2014-10-01,2017-10-27
002232,AMPA EB LA BALDUFA,22320025980000000000000000000000000,valid,2014-10-01,2017-10-27
002233,AMPA IES ALTAFULLA,22330024210000000000000000000000000,valid,2014-12-01,2017-10-27
002234,AMPA EB ELS GARROFERS,22340035690000000000000000000000000,esborrany,2014-05-22,2017-10-27
